particle_id,z_0,z_1,z_2,z_3
particle_0000_00,0.176988,-1.505168,0.139575,2.389835
particle_0000_01,1.513958,0.719881,2.380600,2.532688
particle_0000_02,0.228490,-0.101511,2.017205,2.728206
particle_0000_00,1.931202,2.408735
particle_0000_01,10.970986,2.530255
particle_0000_02,15.342875,2.414415
