particle_id,z_0,z_1,z_2,z_3
particle_0000_00,1.211018,2.998987,-0.006406,0.805648
particle_0000_01,-0.922765,2.322037,2.763797,-0.244980
particle_0000_02,-0.623852,2.527548,1.813216,1.142267
particle_0000_00,-2.373363,0.396469
particle_0000_01,-2.371271,-1.706682
particle_0000_02,-2.472405,-0.991263
