particle_id,z_0,z_1
particle_0000_00,2.889366,-0.653319
particle_0000_01,2.771660,1.154820
particle_0000_02,2.790433,1.096118
particle_0000_00,-0.363181,-2.618925
particle_0000_01,2.585909,-3.100187
particle_0000_02,1.488386,-2.808412
